pk,nom,ville,origine,derniere_maj,tags_actuels
15673397,Jazz Sous les Pommiers,,enrichissement,2026-06-26T14:39:17,Association ; Danse ; Festival ; Humour ; Jazz & blues ; Musique ; Pluridisciplinaire ; Théâtre public
15673462,Association Festival Musique du Monde de Saint Paul les Dax,,enrichissement,2026-06-26T14:23:18,Association ; Festival ; Musique ; Musiques actuelles
15673530,L'été de Vaour,Vaour,scoring,2026-07-11T13:43:34,(AUCUN)
15673600,Association Retour de Scène,Grenoble,scoring,2026-07-11T13:29:26,(AUCUN)
15673643,Centre des Arts Enghien les Bains,Enghien-les-Bains,scoring,2026-07-11T13:38:07,(AUCUN)
15673650,Colmar-Expo S.A,Colmar,scoring,2026-07-11T13:28:25,(AUCUN)
15673677,Festival Production,Brive-la-Gaillarde,scoring,2026-07-11T13:30:37,(AUCUN)
15673760,Les guinguettes de l'Auzon,Carpentras,scoring,2026-07-11T13:45:00,(AUCUN)
15673842,No Logo BZH,St Père,scoring,2026-07-11T13:45:57,(AUCUN)
15673890,Pause Guitare,,scoring,2026-07-11T13:33:38,(AUCUN)
15673898,pleins feux,Bonneville,scoring,2026-07-11T13:47:53,(AUCUN)
15673925,Rio Loco,Toulouse,scoring,2026-07-11T13:46:27,(AUCUN)
15674004,Vieilles Charrues,Carhaix,scoring,2026-07-11T13:47:07,(AUCUN)
15674031,Valenciennes Métropôle,Valenciennes,scoring,2026-07-11T13:28:41,(AUCUN)
15674037,Association Voix de Femmes,Maury,scoring,2026-07-11T13:52:38,(AUCUN)
15674049,zik zac,Aix-en-Provence,scoring,2026-07-11T13:48:09,(AUCUN)
15674242,Cartel Concerts,Paris,scoring,2026-07-11T13:27:24,(AUCUN)
15676272,Le Forum,Vauréal,scoring,2026-07-11T13:44:00,(AUCUN)
15676887,Festival de la Paille,Métabief,scoring,2026-07-11T13:40:00,(AUCUN)
15678195,See You Soon,Strasbourg,scoring,2026-07-13T10:25:26,(AUCUN)
15681691,Art Rock,Saint-Brieuc,scoring,2026-07-11T13:37:38,(AUCUN)
15681695,Avec le temps,Marseille,scoring,2026-07-11T13:48:23,(AUCUN)
15681697,Atout Coeurs,Benquet,scoring,2026-07-11T13:52:49,(AUCUN)
15681706,Détours de Babel,Grenoble,scoring,2026-07-11T13:39:13,(AUCUN)
15681707,Festival Ebulli'son,Ornans,scoring,2026-07-11T13:30:23,(AUCUN)
15681716,Festival de Guitare d'Aucamville et du Nord Toulousain,Toulouse,scoring,2026-07-11T13:39:45,(AUCUN)
15681735,Jazz Sous les Pommiers,,enrichissement,2026-06-26T14:23:01,Festival ; Jazz & blues ; Musique ; Musiques actuelles ; Soul
15681739,Le Grand Unisson,Saint-Jean-de-la-Ruelle,scoring,2026-07-11T13:44:26,(AUCUN)
15681758,Notes en Vert,Périgny,scoring,2026-07-11T13:46:09,(AUCUN)
15681772,Rockalissimo,Saint-Aubin,scoring,2026-07-11T13:34:18,(AUCUN)
15681777,Tempos du Monde,Saint-Paul-lès-Dax,scoring,2026-07-11T13:46:40,(AUCUN)
15681785,Fstival Kampagn'arts,Saint-Paterne-Racan,scoring,2026-07-11T13:42:31,(AUCUN)
15681789,Bizz Art Normade,Dieulefit,scoring,2026-07-11T13:37:52,(AUCUN)
15681800,Delta Festival,Marseille,scoring,2026-07-11T13:29:39,(AUCUN)
15681818,Foire en seine,Châlons-en-Champagne,scoring,2026-07-11T13:32:37,(AUCUN)
15681825,Festival sur le Champ,Valence,scoring,2026-07-11T13:31:39,(AUCUN)
15681830,Barrière Enghien Jazz Festival,Paris,scoring,2026-07-11T13:53:25,(AUCUN)
15681831,Foire aux Vins,Colmar,scoring,2026-07-11T13:32:21,(AUCUN)
15681846,Fiesta Sète,Sète,scoring,2026-07-11T13:41:10,(AUCUN)
15681849,Les Grimaldines,Grimaud,scoring,2026-07-11T13:44:39,(AUCUN)
15681883,Aluna Festival,Ruoms,scoring,2026-07-11T13:52:24,(AUCUN)
15681886,Francomanias,Bulle,scoring,2026-07-11T13:41:27,(AUCUN)
15681895,Festival Django Reinhardt,Samois-sur-Seine,scoring,2026-07-11T13:30:07,(AUCUN)
15681901,Détours du monde,Chanac,scoring,2026-07-11T13:39:27,(AUCUN)
15681916,Musicalarue,Luxey,scoring,2026-07-11T13:45:44,(AUCUN)
15681918,Festival de Thau,Mèze,scoring,2026-07-11T13:33:24,(AUCUN)
15681936,Au Pont Du Rock,Malestroit,scoring,2026-07-11T13:53:02,(AUCUN)
15714451,Centre Culturel Gérard Philipe,Calais,scoring,2026-07-11T13:48:39,(AUCUN)
15714464,Espace Dolfus & Noack,"Sausheim, France",scoring,2026-07-11T13:49:18,(AUCUN)
15714477,Ville de Quéven,Quéven,scoring,2026-07-11T13:37:13,(AUCUN)
15714605,Ville de Boisseul,Boisseuil,scoring,2026-07-11T13:35:02,(AUCUN)
15714652,V and B Fest,Château-Gontier-sur-Mayenne,scoring,2026-07-11T13:46:53,(AUCUN)
15714694,Espace Ligéria,"Montlouis-sur-Loire, France",scoring,2026-07-11T13:34:05,(AUCUN)
15714721,Elispace,"Beauvais, France",scoring,2026-07-11T13:48:53,(AUCUN)
15714723,Ville de Brive-la-Gallarde,Brive-la-Gaillarde,scoring,2026-07-11T13:49:47,(AUCUN)
15714766,Ville de Joué les Tours,Joué-lès-Tours,scoring,2026-07-11T13:36:01,(AUCUN)
15714825,Ville de Concarneau,"Concarneau, France",scoring,2026-07-11T13:50:21,(AUCUN)
15714854,Ville de La Seyne-sur-Mer,La Seyne-sur-Mer,scoring,2026-07-11T13:50:49,(AUCUN)
15714855,Ville de la Souterraine,La Souterraine,scoring,2026-07-11T13:47:38,(AUCUN)
15714881,Ville de Boulogne-sur-Mer,Boulogne-sur-Mer,scoring,2026-07-11T13:49:33,(AUCUN)
15714883,Ville de Pont Chateau,Pontchâteau,scoring,2026-07-11T13:51:40,(AUCUN)
15714884,Ville de Mûrs-Érigné,Mûrs-Erigné,scoring,2026-07-11T13:36:58,(AUCUN)
15714890,Ville de Canteleu,"Canteleu, France",scoring,2026-07-11T13:50:08,(AUCUN)
15714894,Ville de Fontenay-sous-Bois,"Fontenay-sous-Bois, France",scoring,2026-07-11T13:35:40,(AUCUN)
15714972,Ville de Clichy-sous-Bois,Clichy-sous-Bois,scoring,2026-07-11T13:35:16,(AUCUN)
15715008,Ville de Vallet,Vallet,scoring,2026-07-11T13:33:11,(AUCUN)
15715054,Centre Athanor,Montluçon,scoring,2026-07-11T13:53:39,(AUCUN)
15715058,Ville de Voisins le Bretonneux,"Voisins Le Bretonneux, France",scoring,2026-07-11T13:52:09,(AUCUN)
15715107,Ville de Saint Rapahel,Saint-Raphaël,scoring,2026-07-11T13:51:55,(AUCUN)
15715111,Ville de Vaulx-en-Velin,Vaulx-en-Velin,scoring,2026-07-11T13:37:27,(AUCUN)
15715113,Ville de Neuves-Maisons,"Neuves-Maisons, France",scoring,2026-07-11T13:51:29,(AUCUN)
15715114,Ville de Fougères,Fougères,scoring,2026-07-11T13:27:54,(AUCUN)
15715169,Ville de Gueret,Guéret,scoring,2026-07-11T13:50:37,(AUCUN)
15715217,Auditorium Jean Moulin,Le Thor,scoring,2026-07-11T13:28:08,(AUCUN)
15715233,Ville de Lons,Lons,scoring,2026-07-11T13:47:24,(AUCUN)
15715293,Ville de Ludres,Ludres,scoring,2026-07-11T13:51:03,(AUCUN)
15715300,Espace 1789,Saint-Ouen-sur-Seine,scoring,2026-07-11T13:49:05,(AUCUN)
15715334,Ville de Bagnols sur Cèze,Bagnols-sur-Cèze,scoring,2026-07-11T13:34:50,(AUCUN)
15715405,Ville de Mandelieu-la-Napoule,Mandelieu-la-Napoule,scoring,2026-07-11T13:51:18,(AUCUN)
15715417,Ville de La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,scoring,2026-07-11T13:36:12,(AUCUN)
15715494,Arènes de Dax,"Dax, France",scoring,2026-07-11T13:33:51,(AUCUN)
15715517,Ville d'Yvetot,Yvetot,scoring,2026-07-11T13:34:30,(AUCUN)
16042157,Cirque d'Hiver,,enrichissement,2026-06-26T14:22:48,Danse ; Musique ; Musiques actuelles ; Pluridisciplinaire ; Salle de concerts
16234721,Ville de la Roche-sur-Yon,,enrichissement,2026-06-26T14:25:32,Collectivité locale ; Danse ; Pluridisciplinaire ; Salle de concerts ; Scène Nationale ; Théâtre public
16235088,Les Nuits du Mont Cotton,,enrichissement,2026-06-26T14:23:52,Chanson ; Festival ; Musique
16235137,Festival Nouvelles Voix,,enrichissement,2026-06-26T14:23:35,Chanson ; Festival ; Musiques actuelles ; Pop ; Propose Jean Castel ; Scène Conventionnée
16426324,Ville de Perpignan,,scoring,2026-07-13T10:50:22,Client ; Collectivité locale ; Pluridisciplinaire ; Salle de concerts
